,Unnamed: 0,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
8827,8858,0,1,27,1,2,183,4,4,4,4,5,4,4,5,4,3,4,3,4,5,0,7.0,0
3588,3601,1,0,22,1,0,829,2,3,3,2,1,3,1,1,1,3,3,3,3,1,4,4.0,0
1011,1017,0,0,23,1,2,1020,4,5,4,1,4,4,4,4,3,4,5,3,5,4,0,0.0,1
7212,7237,1,0,21,1,0,1028,4,4,4,5,3,4,3,3,3,3,2,5,4,3,0,0.0,1
5025,5044,1,1,67,0,0,626,3,4,3,3,4,4,4,2,2,3,2,5,2,3,0,0.0,0
8452,8482,0,1,56,1,2,308,1,1,1,1,2,5,5,5,5,4,5,3,5,5,0,1.0,1
3704,3717,0,1,44,0,0,819,3,0,3,2,3,3,3,3,3,3,5,5,5,3,28,22.0,0
2492,2503,0,1,37,0,0,1154,2,4,2,4,4,2,4,4,2,2,2,1,4,4,20,41.0,0
6116,6136,1,0,57,1,0,665,4,4,4,3,2,4,1,2,4,5,4,3,3,2,37,91.0,0
8335,8365,0,1,45,1,2,1096,4,4,4,4,3,4,4,5,5,5,5,4,5,5,0,0.0,1
4029,4046,0,1,51,1,0,1269,4,1,1,1,4,4,4,4,4,5,3,1,3,4,85,88.0,0
2053,2061,1,1,68,0,0,813,2,4,2,3,3,3,3,2,2,2,2,1,2,4,1,0.0,0
6159,6179,1,1,43,1,2,2133,5,2,5,5,3,4,5,3,3,3,3,5,3,4,0,0.0,1
8754,8785,1,1,47,1,2,2981,2,5,1,1,3,4,3,2,2,2,2,4,2,1,15,0.0,0
6821,6844,0,1,20,0,0,829,3,4,3,4,2,3,2,2,3,2,5,5,4,2,24,10.0,0
4090,4107,1,0,19,1,0,402,2,2,2,4,1,2,1,1,2,5,4,3,3,1,9,8.0,0
9754,9789,1,1,45,1,0,989,4,5,5,5,3,2,1,4,4,4,4,3,4,4,0,21.0,1
5155,5175,0,1,69,0,0,601,4,5,4,2,3,4,3,3,2,2,5,2,5,3,0,1.0,0
2012,2020,0,1,65,0,0,862,4,5,4,3,3,4,3,3,4,3,4,4,1,3,3,0.0,0
6442,6463,0,1,26,0,0,1674,3,5,2,3,5,2,5,5,5,4,2,3,1,5,20,17.0,0
8145,8174,1,1,45,0,0,919,2,5,2,5,5,4,5,3,3,2,3,3,3,5,0,0.0,0
3611,3624,1,1,59,0,0,1172,2,5,2,5,4,5,5,3,3,2,3,5,3,3,0,0.0,0
8470,8500,1,1,41,1,2,3651,3,3,3,3,5,4,5,4,4,4,4,3,4,3,6,1.0,1
8011,8039,1,1,65,0,0,1504,1,5,1,4,2,5,2,2,2,1,2,3,2,4,14,3.0,0
3227,3239,1,0,40,1,2,404,4,4,4,2,4,4,4,4,5,3,4,5,5,4,0,0.0,1
254,254,1,1,67,1,0,463,4,1,5,5,1,5,3,4,4,4,4,4,4,1,0,0.0,1
2641,2652,1,1,70,0,0,404,3,5,4,5,4,3,2,5,5,4,1,5,5,1,9,2.0,0
859,864,0,1,43,1,2,2556,3,3,5,5,1,1,3,3,3,3,3,1,3,4,33,7.0,0
1264,1270,1,1,46,0,2,90,2,5,2,1,5,5,5,5,5,2,5,3,5,4,0,25.0,0
5360,5380,0,0,25,1,0,110,2,3,2,3,4,2,4,4,2,2,2,1,2,4,4,29.0,0
4958,4977,1,1,47,1,2,2407,3,3,3,3,3,4,5,4,4,4,4,5,4,4,0,0.0,1
619,620,0,1,39,1,2,406,5,5,5,5,2,5,5,4,4,4,4,1,4,3,0,0.0,1
260,260,1,0,27,1,0,552,2,4,2,4,2,2,2,2,2,5,3,1,5,2,0,1.0,0
3005,3016,1,1,47,1,2,2704,4,4,4,4,3,3,4,4,4,4,4,5,4,5,11,3.0,1
4729,4747,0,1,64,0,0,813,3,2,3,2,4,3,1,4,2,3,1,3,2,4,18,16.0,0
1732,1740,0,1,40,1,0,425,5,5,5,5,5,5,5,5,1,3,2,3,1,5,0,7.0,1
5402,5422,0,1,19,0,0,464,2,5,2,3,3,2,3,3,3,3,5,3,5,3,28,16.0,0
2943,2954,0,0,25,1,2,888,4,4,4,4,1,4,1,1,3,5,5,5,5,1,5,9.0,0
8826,8857,0,1,51,1,2,2248,1,1,1,1,3,4,5,5,5,5,5,5,5,5,1,8.0,1
2165,2173,0,1,41,1,2,2231,1,1,1,1,4,4,2,4,4,4,4,1,4,2,5,1.0,1
834,839,1,1,23,1,2,590,2,4,4,4,2,2,2,2,3,1,4,3,4,2,22,14.0,0
659,660,0,1,52,1,2,135,1,4,4,4,3,2,2,2,2,2,1,1,2,2,39,80.0,0
3001,3012,1,1,43,1,0,630,3,1,1,1,1,3,3,3,3,3,3,3,3,3,0,4.0,0
4951,4970,1,1,16,0,0,414,4,3,4,1,5,4,5,5,2,1,4,4,2,5,0,0.0,1
3342,3355,1,1,57,1,2,3660,2,5,5,5,4,3,3,3,3,3,2,2,3,1,3,0.0,0
7839,7866,0,1,69,0,0,516,2,1,2,4,4,2,4,4,1,3,3,4,3,4,8,0.0,0
6987,7011,0,1,29,0,2,545,1,3,1,3,1,4,4,2,1,3,4,4,4,4,92,150.0,0
1470,1477,1,0,25,1,0,1390,2,2,2,3,1,2,1,1,4,2,4,3,3,1,25,14.0,0
5519,5539,0,1,40,1,2,719,3,3,3,3,3,3,2,3,3,3,3,3,3,1,67,62.0,0
1049,1055,0,1,70,0,0,1747,4,1,4,3,4,4,4,4,2,1,3,3,4,4,0,0.0,0
9945,9980,1,1,41,1,2,1993,4,4,4,4,4,5,5,3,3,3,3,4,3,4,0,0.0,1
1840,1848,0,1,35,1,2,2153,1,1,1,1,2,3,5,3,3,4,3,5,3,5,0,27.0,1
1546,1553,0,0,17,1,0,1011,4,4,4,3,4,3,3,2,3,3,3,3,4,3,330,322.0,0
3121,3133,0,0,15,1,0,620,2,4,2,4,1,2,1,1,4,1,4,4,4,1,4,3.0,0
4095,4112,0,1,36,1,0,387,3,5,2,5,3,3,3,3,1,1,1,2,1,3,0,1.0,0
7679,7706,1,1,67,0,0,2279,1,4,1,2,3,4,5,5,5,1,2,5,5,3,7,0.0,0
9313,9344,1,1,45,0,1,944,1,3,1,5,5,2,1,3,3,1,5,3,3,2,0,0.0,0
9929,9964,0,1,39,0,0,293,3,4,3,3,5,3,5,5,5,5,4,5,5,5,0,10.0,0
3979,3994,0,0,33,1,2,604,2,2,2,3,5,2,5,5,3,2,5,3,4,5,54,65.0,0
9675,9708,1,1,29,1,2,874,3,3,2,3,4,4,4,4,5,2,5,4,4,4,1,0.0,1
8775,8806,0,1,44,1,2,337,4,3,4,4,5,4,5,5,5,4,5,5,5,4,0,0.0,1
1537,1544,0,1,44,1,2,391,2,2,2,2,2,4,5,4,4,4,4,3,4,3,2,0.0,1
1873,1881,1,1,35,0,0,528,4,4,4,4,4,4,4,4,5,3,4,3,4,4,1,0.0,1
9583,9616,1,1,40,1,1,190,2,3,3,3,2,2,2,2,2,5,3,4,3,2,0,0.0,1
274,275,0,1,23,1,2,1944,1,1,1,1,1,1,1,1,4,5,4,2,4,1,27,28.0,0
4604,4622,1,1,41,1,2,3555,2,2,2,2,5,5,4,2,2,2,2,5,2,4,0,0.0,1
2161,2169,1,1,38,1,2,2822,2,2,5,2,2,5,4,5,5,5,5,3,5,4,13,0.0,1
4227,4244,1,1,50,1,2,1522,4,3,4,4,2,4,4,4,4,4,4,1,4,3,0,16.0,0
9046,9077,1,1,58,1,2,2204,3,3,3,3,2,5,4,4,4,4,4,3,4,5,0,1.0,1
5312,5332,1,1,67,0,0,488,2,3,2,4,3,4,4,5,5,2,5,3,5,4,0,33.0,0
6164,6184,1,1,20,1,2,3524,4,4,3,4,4,4,4,4,4,3,1,3,5,4,0,5.0,1
1987,1995,0,1,35,1,0,1005,4,1,2,2,4,4,4,4,3,2,4,4,5,4,0,0.0,1
278,279,1,0,20,1,0,544,2,0,2,5,3,2,3,3,3,3,4,4,5,3,24,15.0,0
1141,1147,1,1,49,1,0,414,1,1,1,1,3,3,3,1,1,1,1,2,1,3,0,0.0,0
4272,4289,0,0,42,1,0,1327,4,4,4,4,1,4,5,1,4,3,3,1,1,1,7,6.0,0
4267,4284,0,0,22,1,0,1020,3,2,2,4,2,3,3,1,5,3,3,3,4,3,123,134.0,0
1995,2003,0,1,47,1,2,2756,3,3,3,3,5,4,4,4,4,4,4,3,4,4,0,0.0,1
5152,5172,1,1,43,1,0,587,3,3,3,3,5,4,3,3,3,3,3,3,3,1,0,0.0,0
2621,2632,0,1,61,0,0,468,1,4,1,3,2,1,2,2,4,5,4,4,4,2,0,0.0,0
9947,9982,1,1,22,1,0,1145,4,1,1,1,4,4,3,4,3,2,3,4,4,4,75,69.0,0
222,222,0,0,22,1,0,2586,1,1,1,1,1,2,2,4,4,4,5,2,3,2,43,57.0,0
9014,9045,1,1,29,1,2,2836,2,3,3,3,2,2,2,2,4,1,3,4,3,2,0,0.0,0
1518,1525,0,1,25,1,2,2728,5,5,1,5,5,5,5,5,3,4,5,5,5,5,0,0.0,1
946,952,1,1,24,0,0,628,4,4,4,4,2,4,2,2,3,5,4,4,5,2,0,0.0,0
7339,7364,0,0,34,1,0,308,2,0,2,3,4,2,4,4,1,3,1,2,1,4,0,0.0,0
7256,7281,1,1,42,1,0,562,1,2,5,2,3,4,4,1,1,1,1,4,1,4,0,0.0,0
3376,3389,1,1,27,0,0,3784,2,4,2,4,2,2,2,4,5,5,4,2,3,2,0,0.0,0
8841,8872,1,1,39,1,2,725,5,4,5,5,5,5,5,5,4,5,4,5,3,5,282,263.0,1
7971,7999,0,1,7,0,0,2176,2,5,2,2,5,2,5,5,3,2,2,1,4,5,0,0.0,0
8204,8233,1,1,65,0,1,1014,3,2,3,4,3,2,3,5,5,3,3,2,5,1,0,0.0,0
3259,3272,1,1,22,1,2,1533,3,3,3,3,4,4,4,4,3,5,5,5,3,4,0,0.0,1
3191,3203,1,1,34,1,2,602,2,5,5,5,1,2,3,2,2,2,2,3,2,4,3,0.0,0
5836,5856,0,1,62,0,0,397,2,4,2,3,2,2,4,2,4,3,4,5,4,2,71,62.0,0
2400,2410,1,1,52,1,0,500,3,5,5,5,4,3,3,3,3,3,3,1,3,2,0,0.0,0
6758,6781,0,1,40,1,2,1050,4,4,1,4,5,1,5,5,5,5,5,2,5,3,0,0.0,1
7457,7484,1,0,20,1,0,687,2,2,2,1,1,2,1,1,3,5,4,3,4,1,8,0.0,0
484,485,1,1,31,1,1,101,5,5,5,5,5,5,5,5,3,2,5,2,4,5,0,0.0,1
7514,7541,0,0,24,1,0,985,2,2,2,4,3,2,3,3,5,3,4,3,4,3,7,1.0,1
2864,2875,0,1,50,0,0,550,2,2,2,4,3,2,3,3,1,1,3,4,4,3,9,14.0,0
5240,5260,1,0,25,1,2,2611,2,5,2,3,3,2,3,3,4,2,5,5,4,3,3,0.0,0
2064,2072,1,1,45,1,0,599,4,5,5,5,5,4,3,4,4,4,4,2,4,2,0,0.0,1
8522,8552,0,1,46,1,2,3301,3,3,3,3,2,4,4,5,5,5,5,4,5,3,8,1.0,1
9710,9743,0,1,55,0,0,2402,1,2,1,4,1,2,2,3,2,3,4,2,3,2,0,3.0,0
3068,3079,0,0,21,1,0,192,4,1,4,4,4,4,4,4,2,3,3,2,4,4,0,2.0,0
1266,1272,0,0,37,1,0,628,3,4,3,3,3,3,3,3,3,5,3,1,3,3,0,0.0,0
691,693,1,0,39,1,2,2065,4,4,4,4,2,4,2,2,4,4,4,2,3,2,15,10.0,0
8577,8607,0,1,43,0,0,1489,3,5,3,2,2,3,2,2,5,3,5,5,5,2,0,0.0,0
9670,9703,1,1,55,1,0,695,3,4,4,4,2,4,3,2,2,3,2,1,2,1,0,0.0,0
3187,3199,1,1,23,0,2,370,2,4,2,3,1,2,1,1,2,2,3,4,4,1,0,0.0,0
8690,8721,0,0,25,1,0,606,5,4,5,2,4,5,4,4,1,4,4,1,1,4,0,0.0,1
7105,7130,1,1,55,1,2,2121,5,5,5,5,3,5,5,5,5,5,5,5,5,4,0,32.0,1
5273,5293,0,1,59,1,2,1978,2,2,3,2,2,5,4,4,4,4,4,5,4,5,11,16.0,1
6160,6180,1,1,39,0,0,481,4,3,4,4,3,4,3,3,1,1,4,2,3,3,4,16.0,1
3496,3509,1,1,50,1,2,1521,3,3,3,3,3,4,5,4,4,4,4,4,4,4,7,0.0,1
550,551,1,1,58,1,2,2486,2,2,2,2,5,5,4,4,4,4,4,5,4,5,0,0.0,1
218,218,1,1,17,1,0,460,3,3,3,3,3,3,2,3,2,4,3,3,3,3,0,0.0,0
2588,2599,0,1,26,1,2,1020,3,3,3,3,4,4,4,4,3,4,5,4,5,4,0,0.0,1
7361,7387,1,1,7,0,0,1157,3,4,3,2,5,3,5,5,5,2,4,4,4,5,0,0.0,0
2282,2291,1,1,56,0,1,273,2,4,2,3,3,3,3,4,4,2,4,2,4,2,67,63.0,0
2144,2152,1,1,50,0,1,448,3,1,3,3,2,3,3,1,1,3,1,1,1,3,0,0.0,0
1515,1522,0,0,43,1,0,391,3,2,3,3,3,3,3,3,4,3,3,4,4,3,0,0.0,0
3911,3926,1,0,40,1,2,331,4,4,4,5,5,4,5,5,1,1,5,2,5,5,0,0.0,0
8670,8701,0,1,49,1,0,896,4,5,5,5,4,4,4,4,4,5,1,3,5,4,0,0.0,1
9040,9071,1,1,45,1,2,1389,3,3,3,3,5,4,4,2,2,2,2,4,2,4,0,0.0,1
8183,8212,0,1,40,1,2,258,2,2,2,2,5,4,4,4,4,4,4,5,4,3,62,60.0,1
3016,3027,1,1,44,1,2,3384,5,5,4,5,5,5,4,3,3,3,3,3,3,5,0,0.0,1
1462,1469,0,1,17,0,0,427,2,3,2,4,2,2,2,2,3,3,3,2,4,2,1,0.0,0
5924,5944,0,1,15,0,0,374,3,0,3,3,4,3,1,4,1,2,5,2,2,4,0,0.0,0
4867,4886,1,1,27,1,2,1846,2,4,4,4,2,2,2,2,4,3,3,4,4,2,16,1.0,0
8071,8100,0,1,16,0,1,569,3,3,4,2,3,4,3,3,2,2,3,1,2,3,0,0.0,0
2639,2650,0,1,38,0,1,332,4,1,5,3,1,5,1,1,4,2,3,1,3,1,107,96.0,0
2670,2681,0,1,44,1,2,2651,3,3,3,3,4,5,5,4,4,4,4,5,4,3,0,0.0,1
372,373,0,1,29,1,2,1846,4,4,4,4,5,5,5,5,5,2,4,3,4,5,6,1.0,1
8883,8914,0,1,33,1,2,3305,3,3,3,3,2,2,2,2,5,2,5,5,4,2,91,86.0,1
3833,3847,1,1,67,0,0,1448,3,4,3,4,5,3,3,1,1,3,5,2,1,1,4,0.0,0
5569,5589,1,0,21,1,0,236,0,3,0,4,4,0,4,4,2,3,1,1,2,4,0,0.0,1
473,474,1,1,49,0,0,204,3,5,3,1,2,2,4,1,1,3,1,5,1,5,0,0.0,0
5387,5407,0,1,48,1,2,2384,4,4,4,4,3,5,5,4,4,4,4,3,4,4,0,0.0,1
2929,2940,0,1,70,0,0,102,2,5,2,3,4,2,4,4,3,2,4,4,5,4,0,0.0,0
6637,6659,0,1,58,1,2,3748,5,5,5,5,2,4,4,5,5,5,5,3,5,4,0,9.0,1
1233,1239,1,1,7,0,0,1749,2,2,2,4,2,2,2,2,3,4,4,1,3,2,60,35.0,0
8840,8871,1,1,56,1,2,2040,4,4,4,4,5,5,4,4,4,4,4,4,4,4,2,4.0,1
1085,1091,1,1,17,0,0,977,3,3,3,3,2,3,2,2,3,3,2,5,2,2,20,17.0,0
6009,6029,0,1,40,1,0,1050,4,3,3,3,4,4,4,4,1,2,5,2,2,4,0,0.0,1
6482,6504,0,0,31,1,0,1441,1,1,1,3,3,1,3,3,1,4,4,1,3,3,18,6.0,0
408,409,1,1,60,1,0,351,5,5,5,5,4,5,4,5,5,5,5,5,5,5,0,0.0,1
7379,7406,0,1,55,1,2,2730,5,5,1,5,4,5,4,5,5,4,5,5,5,4,22,15.0,1
1890,1898,1,1,29,1,2,2691,4,4,5,4,4,3,4,4,4,5,4,5,4,4,0,0.0,1
8549,8579,1,0,43,1,0,223,1,0,1,1,5,1,5,5,3,4,5,1,4,5,0,0.0,0
9904,9939,1,0,21,1,0,160,3,4,3,3,2,3,2,2,2,3,4,2,1,2,0,0.0,0
6836,6859,0,1,11,0,0,1733,1,4,1,1,5,1,1,5,5,4,3,3,2,5,0,0.0,0
9650,9683,1,1,27,1,1,679,4,4,4,4,4,4,4,4,1,3,4,4,2,4,0,0.0,1
3501,3514,1,1,62,0,0,549,3,4,4,2,5,4,5,3,3,4,3,3,3,4,0,0.0,0
2463,2473,0,1,23,1,2,1921,2,2,2,2,4,4,4,4,3,2,4,4,2,4,0,0.0,1
9468,9499,0,0,24,1,2,735,5,5,5,5,3,5,3,3,3,4,4,3,4,3,0,0.0,1
8382,8412,1,0,16,1,2,972,0,0,0,3,4,0,4,4,4,5,4,3,4,4,0,0.0,1
9910,9945,0,1,54,1,0,550,3,2,2,2,3,3,3,3,4,5,3,4,2,3,0,0.0,0
6799,6822,0,0,22,1,0,101,4,0,5,5,3,5,3,3,4,1,2,3,5,3,0,3.0,1
1600,1607,1,0,21,1,0,641,2,1,2,4,2,2,2,2,1,2,4,3,3,2,0,0.0,0
4363,4380,0,0,11,1,0,491,1,4,1,4,4,1,4,4,4,5,4,4,3,4,0,0.0,0
5769,5789,1,1,69,0,1,184,2,4,2,5,5,5,5,2,2,2,2,4,2,5,0,0.0,0
6033,6053,1,1,29,1,2,2354,3,4,4,4,3,3,3,3,3,2,4,1,4,3,0,0.0,0
5625,5645,1,1,49,0,0,759,1,4,1,1,2,4,4,1,1,1,5,5,1,5,0,0.0,0
9926,9961,0,1,39,1,2,2419,1,1,5,1,5,5,4,5,5,4,5,5,5,3,26,22.0,1
286,287,0,1,8,0,0,1542,2,4,2,5,1,2,1,1,3,2,4,5,5,1,4,11.0,0
1104,1110,1,0,43,1,1,162,4,3,3,2,2,4,2,2,4,2,1,2,1,2,80,75.0,0
5414,5434,0,1,48,1,2,2968,1,3,3,3,3,2,3,1,1,1,1,1,1,3,0,0.0,0
1967,1975,0,1,50,1,2,2160,1,1,1,1,3,5,4,4,4,4,4,3,4,4,0,0.0,1
1163,1169,0,1,46,1,2,3567,2,2,2,2,4,4,3,2,2,2,2,4,2,1,13,17.0,0
8663,8694,0,1,46,1,2,2378,3,3,3,3,4,4,4,5,2,5,2,4,3,4,0,1.0,1
3604,3617,0,1,59,1,2,1979,5,5,5,5,3,5,4,4,4,4,4,5,4,5,0,0.0,1
1562,1569,0,1,64,0,0,1608,1,5,1,3,2,1,2,2,3,5,4,4,4,2,0,0.0,0
2227,2235,0,1,68,0,0,1102,1,4,1,1,4,1,4,4,1,1,1,3,3,4,102,89.0,0
9625,9658,0,1,49,0,2,1069,2,4,2,3,5,5,4,5,5,2,5,4,5,3,8,10.0,0
6595,6617,1,1,47,1,2,456,1,1,3,1,4,4,4,4,4,4,4,3,4,5,0,0.0,1
4009,4026,1,1,53,0,0,309,2,3,4,3,3,4,4,4,4,4,4,4,4,4,0,0.0,0
8460,8490,1,1,52,1,0,728,4,1,1,1,2,2,4,4,4,4,4,4,4,5,0,0.0,1
8319,8349,0,1,41,0,0,842,4,4,4,2,4,4,4,4,1,5,5,4,1,4,13,0.0,0
6619,6641,1,0,37,1,2,460,2,2,2,3,2,2,2,2,3,3,4,5,4,2,0,0.0,0
4274,4291,0,1,65,0,2,1598,2,5,2,4,4,4,4,2,2,2,2,3,2,3,0,0.0,0
9026,9057,1,1,51,1,2,2126,1,1,1,1,3,5,4,5,5,5,5,3,5,3,4,29.0,1
9835,9870,1,1,53,1,2,1789,5,5,5,5,4,4,5,2,2,2,2,3,2,4,59,56.0,1
994,1000,0,1,38,1,2,135,2,2,2,2,5,5,5,5,5,5,4,3,5,5,0,0.0,1
5137,5157,1,1,42,0,0,2173,4,5,4,3,4,4,5,1,1,4,1,5,1,5,1,0.0,1
3160,3172,0,1,56,1,0,196,4,5,5,5,4,4,4,4,3,4,4,2,4,4,52,39.0,0
913,919,0,1,43,1,2,1068,2,2,2,2,2,4,4,4,4,4,4,5,4,4,0,0.0,1
7103,7128,0,1,18,1,1,1020,4,1,1,1,4,4,1,4,4,1,4,3,3,4,42,36.0,0
7737,7764,0,0,37,1,2,675,1,1,1,3,1,1,1,1,4,5,5,5,4,1,1,16.0,0
1851,1859,0,1,69,1,2,163,0,5,0,3,5,3,4,5,5,5,5,4,5,4,47,57.0,1
8453,8483,0,1,69,0,1,590,1,3,1,4,1,1,1,1,4,5,4,2,4,1,2,1.0,0
9453,9484,0,1,24,0,0,697,4,5,4,3,4,4,5,4,5,5,5,3,4,4,42,33.0,0
5551,5571,0,1,33,1,2,500,4,4,4,4,4,4,4,4,1,1,5,1,2,4,0,13.0,1
9853,9888,1,1,34,1,1,1464,0,0,0,3,2,0,2,2,5,5,4,4,5,2,3,14.0,1
6332,6353,0,1,23,0,0,328,1,1,1,2,3,1,3,3,4,3,2,1,3,3,22,55.0,0
